Complex,Year,var,value
SPReefPoint,1997,walleye pollock_SumCPUEkg,1154425.45853
SPReefPoint,1997,walleye pollock_SumCPUENo,2567161.592246
SPReefPoint,1998,walleye pollock_MeanCPUEkg,6414.73715782418
SPReefPoint,1998,walleye pollock_MeanCPUENo,14531.9114061209
SPReefPoint,1998,walleye pollock_SumCPUEkg,583741.081362
SPReefPoint,1998,walleye pollock_SumCPUENo,1322403.937957
SPReefPoint,1999,walleye pollock_MeanCPUEkg,15024.9621069783
SPReefPoint,1999,walleye pollock_MeanCPUENo,29999.148728
SPReefPoint,1999,walleye pollock_SumCPUEkg,1382296.513842
SPReefPoint,1999,walleye pollock_SumCPUENo,2759921.682976
SPReefPoint,2000,walleye pollock_MeanCPUEkg,18020.0681257143
SPReefPoint,2000,walleye pollock_MeanCPUENo,31672.1405625275
SPReefPoint,2000,walleye pollock_SumCPUEkg,1639826.19944
SPReefPoint,2000,walleye pollock_SumCPUENo,2882164.79119
SPReefPoint,2001,walleye pollock_MeanCPUEkg,13897.3399555161
SPReefPoint,2001,walleye pollock_MeanCPUENo,29123.9305233656
SPReefPoint,2001,walleye pollock_SumCPUEkg,1292452.615863
SPReefPoint,2001,walleye pollock_SumCPUENo,2708525.538673
SPReefPoint,2002,walleye pollock_MeanCPUEkg,14708.0536730989
SPReefPoint,2002,walleye pollock_MeanCPUENo,25344.6174578901
SPReefPoint,2002,walleye pollock_SumCPUEkg,1338432.884252
SPReefPoint,2002,walleye pollock_SumCPUENo,2306360.188668
SPReefPoint,2003,walleye pollock_MeanCPUEkg,16172.4146284565
SPReefPoint,2003,walleye pollock_MeanCPUENo,22250.2790939565
SPReefPoint,2003,walleye pollock_SumCPUEkg,1487862.145818
SPReefPoint,2003,walleye pollock_SumCPUENo,2047025.676644
SPReefPoint,2004,walleye pollock_MeanCPUEkg,19078.4411421304
SPReefPoint,2004,walleye pollock_MeanCPUENo,28073.0983085652
SPReefPoint,2004,walleye pollock_SumCPUEkg,1755216.585076
SPReefPoint,2004,walleye pollock_SumCPUENo,2582725.044388
SPReefPoint,2005,walleye pollock_MeanCPUEkg,21009.8797418333
SPReefPoint,2005,walleye pollock_MeanCPUENo,29024.9957414222
SPReefPoint,2005,walleye pollock_SumCPUEkg,1890889.176765
SPReefPoint,2005,walleye pollock_SumCPUENo,2612249.616728
