Complex,Year,var,value
SPReefPoint,2019,sstS,9.84237670898438
SGNorth,2021,sstS,7.60805130004883
SGSouth,2021,sstS,8.40458297729492
SPEast,2021,sstS,7.93215179443359
SPEnglishBay,2021,sstS,8.65913677215576
SPReefPoint,2021,sstS,8.39464569091797
SGNorth,2022,sstS,7.32839775085449
SGSouth,2022,sstS,7.04469442367554
SPEast,2022,sstS,7.26214408874512
SPEnglishBay,2022,sstS,7.96652126312256
SPReefPoint,2022,sstS,7.71733617782593
