value,Complex,var,Month,Year
6.32232093811035,SPEast,sstRe,10,1991
6.69196367263794,SPEnglishBay,sstRe,10,1991
6.80850124359131,SPReefPoint,sstRe,10,1991
5.90561866760254,SGNorth,sstRe,11,1991
5.81953096389771,SGSouth,sstRe,11,1991
5.19203758239746,SPEast,sstRe,11,1991
5.46950054168701,SPEnglishBay,sstRe,11,1991
5.6713137626648,SPReefPoint,sstRe,11,1991
7.37144565582275,SGNorth,sstRe,07,1992
7.43018770217896,SGSouth,sstRe,07,1992
6.31940507888794,SPEast,sstRe,07,1992
6.57134437561035,SPEnglishBay,sstRe,07,1992
6.85350179672241,SPReefPoint,sstRe,07,1992
8.96906280517578,SGNorth,sstRe,08,1992
8.70991516113281,SGSouth,sstRe,08,1992
8.57380867004395,SPEast,sstRe,08,1992
8.41264820098877,SPEnglishBay,sstRe,08,1992
8.57994842529297,SPReefPoint,sstRe,08,1992
8.26215267181397,SGNorth,sstRe,09,1992
8.23182964324951,SGSouth,sstRe,09,1992
7.46824073791504,SPEast,sstRe,09,1992
7.82173299789429,SPEnglishBay,sstRe,09,1992
8.02318382263184,SPReefPoint,sstRe,09,1992
6.53552293777466,SGNorth,sstRe,10,1992
6.67674779891968,SGSouth,sstRe,10,1992
5.63659238815308,SPEast,sstRe,10,1992
6.17060232162476,SPEnglishBay,sstRe,10,1992
6.30977392196655,SPReefPoint,sstRe,10,1992
5.17399454116821,SGNorth,sstRe,11,1992
5.46451711654663,SGSouth,sstRe,11,1992
3.87748241424561,SPEast,sstRe,11,1992
4.6017656326294,SPEnglishBay,sstRe,11,1992
4.83597373962402,SPReefPoint,sstRe,11,1992
7.68454599380493,SGNorth,sstRe,07,1993
7.45172357559204,SGSouth,sstRe,07,1993
6.77085781097412,SPEast,sstRe,07,1993
6.94451808929443,SPEnglishBay,sstRe,07,1993
7.21920013427734,SPReefPoint,sstRe,07,1993
9.86049556732178,SGNorth,sstRe,08,1993
9.71768569946289,SGSouth,sstRe,08,1993
9.75316715240479,SPEast,sstRe,08,1993
9.76362895965576,SPEnglishBay,sstRe,08,1993
9.89629364013672,SPReefPoint,sstRe,08,1993
9.07597732543945,SGNorth,sstRe,09,1993
8.90265560150147,SGSouth,sstRe,09,1993
8.33040523529053,SPEast,sstRe,09,1993
