year,rcod,aug_date,rookeryNum,deadPups,pupsBorn,SE_pups,harBulls,idlBulls,totBulls,notes
2019,ZAR,,12,,,,,,,
2019,LZA,,13,,,,,,,
2019,ZAP,,14,,,,,,,
2019,SOU,,21,,,,183,104,287,
2019,NOR,,22,,,,301,253,554,
2019,ERE,,23,,,,154,109,263,
2019,ECL,,24,,,,233,137,370,
2019,STA,,25,,,,47,27,74,
2019,SGZ,,26,,,,103,72,175,
2021,LUK,,1,,,,126,112,,
2021,KIT,,2,,,,144,120,,
2021,REE,17,3,370,8508,90.5,405,394,,
2021,GOR,,4,,,,245,281,,
2021,ARD,,5,,,,37,11,,
2021,MOR,15,6,346,8172,43.5,326,254,,
2021,VOS,,7,,,,664,382,,
2021,POL,16,8,114,2557,158,91,188,,
2021,LPO,,9,,,,1,56,,
2021,PCL,,10,,,,283,68,,
2021,TOL,,11,,,,213,165,,
2021,ZAR,16,12,113,2159,32,125,92,,
2021,LZA,,13,,,,165,161,,
2021,ZAP,18,14,306,6601,353,302,308,,
2021,SOU,,21,,,,185,89,274,
2021,NOR,,22,,,,334,187,521,
2021,ERE,,23,,,,201,108,309,
2021,ECL,,24,,,,259,150,409,
2021,STA,,25,,,,66,35,101,
2021,SGZ,,26,,,,119,85,204,
2022,LUK,,1,,2248,212.5,,,,
2022,KIT,,2,,2380,15.5,,,,
2022,REE,17,3,325,8879,367.5,,,,
2022,GOR,,4,,5375,55,,,,
2022,ARD,,5,,688,267.5,,,,
2022,MOR,20,6,339,7843,150.5,,,,
2022,VOS,,7,,12458,471,,,,
2022,POL,19,8,96,2600,47.5,,,,
2022,LPO,,9,,,,,,,
2022,PCL,,10,,5968,415,,,,
2022,TOL,,11,,5413,403.5,,,,
2022,ZAR,18,12,117,2536,75.5,,,,
2022,LZA,,13,,4122,15.5,,,,
2022,ZAP,,14,,6264,365.5,,,,
2022,SOU,21,21,86,4250,45,163,93,256,
2022,NOR,,22,,7633,214,333,270,603,
2022,ERE,19,23,81,3882,138.5,128,188,316,
2022,ECL,,24,,6378,26.5,266,234,500,
2022,STA,21,25,25,1007,0.7,49,61,110,
2022,SGZ,,26,,3331,1,102,123,225,
